"Title","Path","Start period","Faculteiten","Minor taal","Interessegebied"
"Logopediewetenschap","/gw/logopediewetenschap","Periode 1","Geesteswetenschappen","Nederlands","Talen en culturen, communicatie"
"Maatschappelijke opvoedingsvraagstukken","/fsw/maatschappelijke-opvoedingsvraagstukken","Periode 1","Sociale Wetenschappen","Nederlands","Mens en gedrag"
"Media en cultuur","/gw/mnc","Periode 1, Periode 2, Periode 3, Periode 4","Geesteswetenschappen","Nederlands","Kunst, cultuur en geschiedenis, Talen en culturen, communicatie"
"Meteorologie, fysische oceanografie en klimaat","/beta/natuur-en-sterrenkunde/meteorologie-fysische-oceanografie-en-klimaat","Periode 1","Bètawetenschappen","Nederlands","Aarde en milieu"
"Methods and Statistics in the Social and Behavioural Sciences (methoden en technieken)","/en/fss/methods-and-statistics-in-the-social-and-behavioural-sciences-methoden-en-technieken","Periode 1","Sociale Wetenschappen","Engels","Mens en gedrag"
"Middeleeuwen","/gw/middeleeuwen","Periode 1","Geesteswetenschappen","Nederlands","Kunst, cultuur en geschiedenis, Talen en culturen, communicatie, Religie, filosofie en ethiek"
"Milieu-maatschappijwetenschappen","/geo/milieu-maatschappijwetenschappen-0","Periode 1","Geowetenschappen","","Aarde en milieu"
"Milieu-natuurwetenschappen","/geo/milieu-natuurwetenschappen-0","Periode 1","Geowetenschappen","Nederlands","Aarde en milieu"
"Multiculturele samenleving","/fsw/multiculturele-samenleving","Periode 1","Sociale Wetenschappen","Nederlands","Mens en gedrag"
"Muziekwetenschap","/gw/muziekwetenschap-1","Periode 1, Periode 2, Periode 3, Periode 4","Geesteswetenschappen","Nederlands","Kunst, cultuur en geschiedenis"
"Nanomaterials","/beta/scheikunde/nanomaterials","Periode 1","Bètawetenschappen","",""
"Nationale Geo-informatie minor","/geo/sgpl/nationale-geo-informatie-minor","Periode 1","Geowetenschappen","Nederlands","Aarde en milieu"
"Natuurkunde","/beta/natuur-en-sterrenkunde/natuurkunde","Periode 1, Periode 2, Periode 3, Periode 4","Bètawetenschappen","",""
"Natuurkunde van de vaste aarde (geofysica)","/geo/aw/natuurkunde-van-de-vaste-aarde-geofysica","Periode 1, Periode 2, Periode 3, Periode 4","Geowetenschappen","Nederlands","Aarde en milieu"
"Nederlandse cultuur","/gw/nederlandse-cultuur","","Geesteswetenschappen","Nederlands","Talen en culturen, communicatie"
"Nederlandse taal en cultuur","/gw/nederlandse-taal-en-cultuur-1","Periode 1","Geesteswetenschappen","Nederlands","Kunst, cultuur en geschiedenis, Talen en culturen, communicatie"
"Onderwijskunde","/fsw/onderwijskunde-0","Periode 1","Sociale Wetenschappen","Nederlands","Mens en gedrag"
"Organisatie en informatie voor HBO-studenten","/beta/informatiekunde/organisatie-en-informatie-voor-hbo-studenten","Periode 1","Bètawetenschappen","Nederlands","Informatietechnologie"
